,brand,title,storage,camera,battery,total_ratings,avg_rating,total_reviews,price
0,MOTOROLA,"MOTOROLA Edge 40 (Nebula Green, 256 GB)",8 GB RAM | 256 GB ROM,50MP + 13MP | 32MP Front Camera,4400 mAh Battery,"12,911",4.2,"2,087","29,999"
1,POCO,"POCO X5 Pro 5G (Horizon Blue, 256 GB)",8 GB RAM | 256 GB ROM,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,"11,541",4.3,"1,173","21,999"
2,REDMI,"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)",6 GB RAM | 128 GB ROM,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,"28,790",4.2,"2,780","23,999"
3,REDMI,"REDMI Note 12 Pro 5G (Onyx Black, 128 GB)",6 GB RAM | 128 GB ROM,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,"28,790",4.2,"2,780","23,999"
4,REDMI,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)",8 GB RAM | 128 GB ROM,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,"14,028",4.2,"1,319","24,999"
5,REDMI,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)",6 GB RAM | 128 GB ROM,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,"28,790",4.2,"2,780","23,999"
6,realme,"realme 11 Pro+ 5G (Oasis Green, 256 GB)",12 GB RAM | 256 GB ROM,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh Battery,"4,323",4.3,515,"29,999"
7,REDMI,"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)",8 GB RAM | 256 GB ROM,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,"14,028",4.2,"1,319","26,999"
8,realme,"realme 11 Pro 5G (Astral Black, 256 GB)",12 GB RAM | 256 GB ROM,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh Battery,380,4.2,34,"27,999"
9,realme,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)",12 GB RAM | 256 GB ROM,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh Battery,"4,323",4.3,515,"29,999"
10,realme,"realme 11 Pro+ 5G (Oasis Green, 256 GB)",8 GB RAM | 256 GB ROM,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh Battery,"16,429",4.3,"1,814","27,999"
11,realme,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)",8 GB RAM | 256 GB ROM,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh Battery,"16,429",4.3,"1,814","27,999"
12,realme,"realme 11 Pro+ 5G (Astral Black, 256 GB)",8 GB RAM | 256 GB ROM,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh Battery,"16,429",4.3,"1,814","27,999"
13,realme,"realme 11 Pro+ 5G (Astral Black, 256 GB)",12 GB RAM | 256 GB ROM,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh Battery,"4,323",4.3,515,"29,999"
14,REDMI,"REDMI Note 12 Pro 5G (Stardust Purple, 256 GB)",8 GB RAM | 256 GB ROM,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,"14,028",4.2,"1,319","26,999"
15,SAMSUNG,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",8 GB RAM | 128 GB ROM,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,"3,501",4.2,243,"17,980"
16,realme,"realme 11 Pro 5G (Sunrise Beige, 256 GB)",12 GB RAM | 256 GB ROM,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh Battery,380,4.2,34,"27,999"
17,OnePlus,"OnePlus 10R (Forest Green, 128 GB)",8 GB RAM | 128 GB ROM,50MP Rear Camera | 16MP Front Camera,5000 mAh Battery,"2,961",4.3,192,"30,580"
18,REDMI,"REDMI Note 12 Pro 5G (Onyx Black, 256 GB)",8 GB RAM | 256 GB ROM,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,"14,028",4.2,"1,319","26,999"
19,POCO,"POCO F5 5G (Snowstorm White, 256 GB)",8 GB RAM | 256 GB ROM,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,"5,332",4.3,784,"26,999"
20,REDMI,"REDMI Note 12 Pro+ 5G (Obsidian Black, 256 GB)",8 GB RAM | 256 GB ROM,200MP + 8MP + 2MP | 16MP Front Camera,4980 mAh Lithium Polymer Battery,"13,790",4.3,"1,442","29,999"
21,REDMI,"REDMI Note 12 Pro+ 5G (Arctic White, 256 GB)",8 GB RAM | 256 GB ROM,200MP + 8MP + 2MP | 16MP Front Camera,4980 mAh Lithium Polymer Battery,"13,790",4.3,"1,442","29,999"
22,POCO,"POCO F5 5G (Snowstorm White, 256 GB)",12 GB RAM | 256 GB ROM,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,994,4.2,142,"29,999"
23,OPPO,"OPPO F21s Pro 5G (Dawnlight Gold, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,64MP + 64MP + 2MP + 2MP | 32MP + 16MP Dual Front Camera,4500 mAh Battery,"1,032",4.2,61,"23,990"
24,POCO,"POCO F5 5G (Carbon Black, 256 GB)",8 GB RAM | 256 GB ROM,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,"5,332",4.3,810,"26,999"
25,POCO,"POCO F5 5G (Carbon Black, 256 GB)",12 GB RAM | 256 GB ROM,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,994,4.2,144,"29,999"
26,REDMI,"REDMI Note 12 Pro 5G (Onyx Black, 128 GB)",8 GB RAM | 128 GB ROM,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,"14,028",4.2,"1,371","24,999"
27,realme,"realme GT NEO 2 (NEO Black, 256 GB)",12 GB RAM | 256 GB ROM,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,"4,542",4.4,638,"26,999"
28,vivo,"vivo V25 Pro 5G (Sailing Blue, 128 GB)",8 GB RAM | 128 GB ROM,64MP + 8MP + 2MP | 32MP Front Camera,4830 mAh Battery,"6,931",4.3,938,"28,980"
29,SAMSUNG,"SAMSUNG Galaxy M33 5G (Emerald Brown, 128 GB)",8 GB RAM | 128 GB ROM,50MP Rear Camera,6000 mAh Battery,"3,501",4.2,250,"17,800"
30,vivo,"vivo V25 5G (Surfing Blue, 128 GB)",8 GB RAM | 128 GB ROM,64MP + 8MP + 2MP | 50MP Front Camera,4500 mAh Lithium Battery,"7,950",4.3,779,"26,990"
31,vivo,"vivo V25 5G (Elegant Black, 256 GB)",12 GB RAM | 256 GB ROM,64MP + 8MP + 2MP | 50MP Front Camera,4500 mAh Lithium Battery,"1,742",4.2,188,"27,990"
32,realme,"realme GT NEO 2 (NEO Blue, 256 GB)",12 GB RAM | 256 GB ROM,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,"4,542",4.4,638,"26,999"
